,Wine_Index,type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,name
1218,1218,white,7.2,0.26,0.44,7.1,0.027,25.0,126.0,0.993,3.02,0.34,11.1,8,'NíewBlany VQA'
1219,1219,white,8.2,0.37,0.36,1.0,0.034,17.0,93.0,0.9906,3.04,0.32,11.7,8,'Etra Vintay Chardonnay'
1220,1220,white,6.4,0.23,0.33,1.15,0.044,15.5,217.5,0.992,3.33,0.44,11.0,6,"""KP'or Savigion VQA"""
1221,1221,white,5.9,0.4,0.32,6.0,0.034,50.0,127.0,0.992,3.51,0.58,12.5,7,'S*üfbilk Setrivie/Vineyard Cri Duy Mai Le Véltuiech'
1222,1222,white,7.6,0.28,0.39,1.2,0.038,21.0,115.0,0.994,3.16,0.67,10.0,6,'Rôest Peques Grogi Altarias Pinot Grit 2021'
1223,1223,white,8.0,0.28,0.42,7.1,0.045,41.0,169.0,0.9959,3.17,0.43,10.6,5,'CRock Bluck Chardonnay 2019'
1224,1224,white,7.2,0.23,0.39,2.3,0.033,29.0,102.0,0.9908,3.26,0.54,12.3,7,'Yünzt 2020'
1225,1225,white,6.8,0.32,0.37,3.4,0.023,19.0,87.0,0.9902,3.14,0.53,12.7,6,'Gséh Cherin 2019'
1226,1226,white,7.2,0.23,0.39,2.3,0.033,29.0,102.0,0.9908,3.26,0.54,12.3,7,'O'
1227,1227,white,6.9,0.18,0.38,6.5,0.039,20.0,110.0,0.9943,3.1,0.42,10.5,5,'FHurg Wingia 2022'
1228,1228,white,9.4,0.26,0.53,1.2,0.047,25.0,109.0,0.9921,3.23,0.28,12.5,6,'Sk Griezto'
1229,1229,white,8.3,0.33,0.42,1.15,0.033,18.0,96.0,0.9911,3.2,0.32,12.4,3,'Ex Chardonn'
1230,1230,white,7.3,0.29,0.3,13.0,0.043,46.0,238.0,0.9986,3.06,0.41,8.7,6,'Frige'
1231,1231,white,7.9,0.41,0.37,4.5,0.03,40.0,114.0,0.992,3.17,0.54,12.4,7,'K#001777'
1232,1232,white,7.9,0.44,0.37,5.85,0.033,27.0,93.0,0.992,3.16,0.54,12.6,7,'SQìe'
1233,1233,white,7.7,0.39,0.3,5.2,0.037,29.0,131.0,0.9943,3.38,0.44,11.0,6,"""Zpan-Claya de Puvies IsT's"""
1234,1234,white,7.7,0.26,0.31,1.3,0.043,47.0,155.0,0.9937,3.42,0.5,10.1,6,'Gömnly Seuvignon'
1235,1235,white,7.8,0.32,0.31,1.7,0.036,46.0,195.0,0.993,3.03,0.48,10.5,5,'Ex#g Viesling 16 Charil Riesling 2019'
1236,1236,white,6.8,0.32,0.37,3.4,0.023,19.0,87.0,0.9902,3.14,0.53,12.7,6,'Wadte Dim Ponceras Le Chandes de Bait Cladd Chemend'
1237,1237,white,7.3,0.24,0.39,3.6,0.024,35.0,116.0,0.9928,3.17,0.51,10.9,5,'Qs Steterserat Diganz'
1238,1238,white,7.1,0.44,0.37,2.7,0.041,35.0,128.0,0.9896,3.07,0.43,13.5,7,'CCho Vindrder Sauvignon Blanc'
1239,1239,white,10.3,0.25,0.48,2.2,0.042,28.0,164.0,0.998,3.19,0.59,9.7,5,'D7'
1240,1240,white,7.9,0.14,0.28,1.8,0.041,44.0,178.0,0.9954,3.45,0.43,9.2,6,'F Ork Rode Cuvée Blancs Freslici 2019'
1241,1241,white,7.4,0.18,0.42,2.1,0.036,33.0,187.0,0.9938,3.4,0.41,10.6,7,'Yülburie Vergani'
1242,1242,white,8.1,0.43,0.42,6.6,0.033,36.0,141.0,0.9918,2.98,0.39,13.3,7,'E101/VQA'
1243,1243,white,7.1,0.44,0.37,2.7,0.041,35.0,128.0,0.9896,3.07,0.43,13.5,7,'HOllbsi Verience 2022'
1244,1244,white,6.4,0.26,0.22,5.1,0.037,23.0,131.0,0.9944,3.29,0.32,10.1,5,'RMèru Mhauec 2018'
1245,1245,white,8.0,0.66,0.72,17.55,0.042,62.0,233.0,0.9999,2.92,0.68,9.4,4,'QAîver Bron Laun Brut Deg Vardannay 2021'
1246,1246,white,8.0,0.2,0.4,5.2,0.055,41.0,167.0,0.9953,3.18,0.4,10.6,7,'Lanino'
1247,1247,white,7.2,0.21,0.34,1.1,0.046,25.0,80.0,0.992,3.25,0.4,11.3,6,'C'
1248,1248,white,7.2,0.18,0.31,1.1,0.045,20.0,73.0,0.9925,3.32,0.4,10.8,7,'Unqula Macca DO Sapcobsenn Blanc 2022'
1249,1249,white,8.4,0.57,0.44,10.7,0.051,46.0,195.0,0.9981,3.15,0.51,10.4,5,'Cont Chérana'
1250,1250,white,5.3,0.26,0.23,5.15,0.034,48.0,160.0,0.9952,3.82,0.51,10.5,7,'Ever Aetsiin Ley Chardonnay 2022'
1251,1251,white,5.7,0.245,0.33,1.1,0.049,28.0,150.0,0.9927,3.13,0.42,9.3,5,'Excharis Thhante Misslinge Riesian 2014'
1252,1252,white,5.6,0.245,0.32,1.1,0.047,24.0,152.0,0.9927,3.12,0.42,9.3,6,'Yquten Brut Brut Rosé Cape Nerulion 2020'
1253,1253,white,7.3,0.25,0.41,1.8,0.037,52.0,165.0,0.9911,3.29,0.39,12.2,7,'GKMAln Agpatserge Sabli Seritiones ViAnor Orguigio '
1254,1254,white,7.0,0.16,0.73,1.0,0.138,58.0,150.0,0.9936,3.08,0.3,9.2,5,'T2022'
1255,1255,white,6.4,0.22,0.34,1.8,0.057,29.0,104.0,0.9959,3.81,0.57,10.3,6,'Zerpines VQA'
1256,1256,white,7.3,0.18,0.65,1.4,0.046,28.0,157.0,0.9946,3.33,0.62,9.4,6,'Niay 2020'
1257,1257,white,6.4,0.17,0.27,6.7,0.036,88.0,223.0,0.9948,3.28,0.35,10.2,6,'SWanntor Chardonnay'
1258,1258,white,6.9,0.29,0.16,6.8,0.034,65.0,212.0,0.9955,3.08,0.39,9.0,6,"""Ecsse'A"""
1259,1259,white,6.2,0.21,0.38,6.8,0.036,64.0,245.0,0.9951,3.06,0.36,9.3,6,'Baux 2026'
1260,1260,white,6.4,0.23,0.3,7.1,0.037,63.0,236.0,0.9952,3.06,0.34,9.2,6,'X2022'
1261,1261,white,7.3,0.19,0.68,1.5,0.05,31.0,156.0,0.9946,3.32,0.64,9.4,6,'Ky'
1262,1262,white,7.3,0.18,0.65,1.4,0.046,28.0,157.0,0.9946,3.33,0.62,9.4,6,'Puteme Cuvé & Bloncse Penotiou Norgiou Stadkling Ri'
1263,1263,white,9.6,0.29,0.46,1.45,0.039,77.5,223.0,0.9944,2.92,0.46,9.5,6,'Jáûc 2022'
1264,1264,white,7.2,0.14,0.35,1.2,0.036,15.0,73.0,0.9938,3.46,0.39,9.9,5,'Rüxcine Antedra Dri 2022'
1265,1265,white,6.9,0.31,0.34,7.4,0.059,36.0,174.0,0.9963,3.46,0.62,11.1,7,'Udnano Souvigron Blanc 2022'
1266,1266,white,7.5,0.28,0.34,4.2,0.028,36.0,116.0,0.991,2.99,0.41,12.3,8,'Pèra Grande Brut Sauvignon Blanc 2022'
1267,1267,white,8.0,0.22,0.42,14.6,0.044,45.0,163.0,1.0003,3.21,0.69,8.6,7,'P6'
1268,1268,white,7.6,0.31,0.29,10.5,0.04,21.0,145.0,0.9966,3.04,0.35,9.4,5,'Wine 2017'
1269,1269,white,8.4,0.35,0.56,13.8,0.048,55.0,190.0,0.9993,3.07,0.58,9.4,6,'RQAmp Tostaje Sanet Vinisard Treckino Dom Charion B'
1270,1270,white,8.0,0.22,0.42,14.6,0.044,45.0,163.0,1.0003,3.21,0.69,8.6,7,'RMungen Brut 2019'
1271,1271,white,8.1,0.5,0.47,1.1,0.037,23.0,126.0,0.9938,3.21,0.42,10.9,5,'Ugnet Grigio VQA'
1272,1272,white,7.0,0.39,0.31,5.3,0.169,32.0,162.0,0.9965,3.2,0.48,9.4,5,'J-Varmegso 2021'
1273,1273,white,8.1,0.5,0.47,1.1,0.037,23.0,126.0,0.9938,3.21,0.42,10.9,5,'I5* Brut Prosara Deg Gen Chardonnay 2022'
1274,1274,white,8.4,0.35,0.56,13.8,0.048,55.0,190.0,0.9993,3.07,0.58,9.4,6,'Sper Wintt Vinattier Cruéa Brand Starkling 2022'
1275,1275,white,6.2,0.22,0.27,1.5,0.064,20.0,132.0,0.9938,3.22,0.46,9.2,6,'Skhafse Baungs Grti Winé 2021'
1276,1276,white,8.0,0.22,0.42,14.6,0.044,45.0,163.0,1.0003,3.21,0.69,8.6,7,"""G'RTeyre Verelanet VQA"""
1277,1277,white,7.6,0.31,0.29,10.5,0.04,21.0,145.0,0.9966,3.04,0.35,9.4,5,'Whinge Nidher Mellanth de Sosiney Quvilly-Riepling '
1278,1278,white,7.0,0.24,0.36,4.9,0.083,10.0,133.0,0.9942,3.33,0.37,10.8,6,'Efsann Celuvinayn 2019'
1279,1279,white,6.6,0.27,0.3,1.9,0.025,14.0,153.0,0.9928,3.29,0.62,10.5,6,'Nocdiur Kits Réeslis 2021'
1280,1280,white,7.8,0.16,0.41,1.7,0.026,29.0,140.0,0.991,3.02,0.78,12.5,6,'VM'
1281,1281,white,7.7,0.27,0.34,1.8,0.028,26.0,168.0,0.9911,2.99,0.48,12.1,7,'Exinh Burc-Terrpar Marüraude-Spergnig Kranke'
1282,1282,white,7.4,0.31,0.74,10.7,0.039,51.0,147.0,0.9977,3.02,0.43,8.7,5,'Ocaylin-Brut 2022'
1283,1283,white,8.0,0.45,0.36,8.8,0.026,50.0,151.0,0.9927,3.07,0.25,12.7,8,'M480 Bawnen Blann Cbar ou Bermenerd Riesling'
1284,1284,white,7.7,0.27,0.34,1.8,0.028,26.0,168.0,0.9911,2.99,0.48,12.1,7,'Nóeslang Les Mardat Beurgest'
1285,1285,white,7.8,0.16,0.41,1.7,0.026,29.0,140.0,0.991,3.02,0.78,12.5,6,'Glüc 2021'
1286,1286,white,6.6,0.16,0.29,1.8,0.05,40.0,147.0,0.9912,3.06,0.44,11.4,7,'UcSpape Chardonnay 2021'
1287,1287,white,8.3,0.21,0.4,1.6,0.032,35.0,110.0,0.9907,3.02,0.6,12.9,7,'RayOch Sporkling'
1288,1288,white,7.2,0.32,0.33,1.4,0.029,29.0,109.0,0.9902,3.15,0.51,12.8,7,'HConshant Extran Pelle-Piel QuFBritmiella Ardé-Mast'
1289,1289,white,6.6,0.16,0.3,1.6,0.034,15.0,78.0,0.992,3.38,0.44,11.2,6,'Iú5 Vôgey Adge Sparkling'
1290,1290,white,8.4,0.16,0.33,1.5,0.033,16.0,98.0,0.994,3.14,0.42,9.7,6,'Axt 4557 13cherre Lie Maite Sparklinga 2021'
1291,1291,white,7.5,0.23,0.32,9.2,0.038,54.0,191.0,0.9966,3.04,0.56,9.7,6,"""Tr' Brenk Raielle Vinge VQA"""
1292,1292,white,6.2,0.17,0.3,1.1,0.037,14.0,79.0,0.993,3.5,0.54,10.3,6,'Rheg Ghand Blanc'
1293,1293,white,6.9,0.39,0.22,4.3,0.03,10.0,102.0,0.993,3.0,0.87,11.6,4,'Boncad Salen-Hirg 2020'
1294,1294,white,6.9,0.41,0.22,4.2,0.031,10.0,102.0,0.993,3.0,0.86,11.6,4,'VUnneyad Thollas Bauthard Riesling Alle Mochea Pino'
1295,1295,white,7.5,0.23,0.32,9.2,0.038,54.0,191.0,0.9966,3.04,0.56,9.7,6,'DÁnha Treperi Sager Conilicure Chôtle Vonest 2021'
1296,1296,white,7.5,0.38,0.33,5.0,0.045,30.0,131.0,0.9942,3.32,0.44,10.9,6,'Ong Sainfargonnay 9e'
1297,1297,white,7.3,0.42,0.38,6.8,0.045,29.0,122.0,0.9925,3.19,0.37,12.6,7,"""En'Blly 2020"""
1298,1298,white,7.3,0.34,0.39,5.2,0.04,45.0,163.0,0.9925,3.3,0.47,12.4,6,'A8'
1299,1299,white,7.8,0.23,0.28,4.75,0.042,45.0,166.0,0.9928,2.96,0.4,11.5,5,'Tbés Riesling Oep'
1300,1300,white,9.0,0.245,0.38,5.9,0.045,52.0,159.0,0.995,2.93,0.35,10.2,6,'Rätati 2001'
1301,1301,white,6.9,0.2,0.4,7.7,0.032,51.0,176.0,0.9939,3.22,0.27,11.4,5,'VÄuist-Wiig Estble Blancse 2019'
1302,1302,white,7.4,0.19,0.42,6.4,0.067,39.0,212.0,0.9958,3.3,0.33,9.6,6,'Ugnesto 2021'
1303,1303,white,8.2,0.2,0.36,8.1,0.035,60.0,163.0,0.9952,3.05,0.3,10.3,6,'VQë9'
1304,1304,white,8.0,0.59,0.71,17.35,0.038,61.0,228.0,1.0,2.95,0.75,9.3,5,'Akling Tharm De'
1305,1305,white,7.9,0.14,0.45,1.8,0.05,17.0,114.0,0.9948,3.33,0.49,10.7,7,'Inn Sauvigno Des Gaisling 2021'
1306,1306,white,6.8,0.24,0.4,1.8,0.047,34.0,105.0,0.99,3.13,0.49,12.8,8,'YSphardannay 2013'
1307,1307,white,9.7,0.14,0.59,1.5,0.049,23.0,142.0,0.9958,2.98,0.62,9.5,5,'Kru Rethau Vesdringe'
1308,1308,white,9.2,0.15,0.68,1.6,0.046,22.0,130.0,0.9948,3.02,0.45,10.4,6,'XBote 2018'
1309,1309,white,9.4,0.17,0.55,1.6,0.049,14.0,94.0,0.9949,3.02,0.61,10.3,6,'J'
1310,1310,white,5.2,0.365,0.08,13.5,0.041,37.0,142.0,0.997,3.46,0.39,9.9,6,'D1Á'
1311,1311,white,6.3,0.23,0.22,3.75,0.039,37.0,116.0,0.9927,3.23,0.5,10.7,6,'Cèré Henchiost 2019'
1312,1312,white,9.6,0.25,0.54,1.3,0.04,16.0,160.0,0.9938,2.94,0.43,10.5,5,'Yf Argino Orio 2022'
1313,1313,white,9.2,0.32,0.42,1.3,0.046,14.0,186.0,0.9949,3.08,0.48,9.6,5,'VFRognog Blanc 2022'
1314,1314,white,6.4,0.31,0.4,6.2,0.04,46.0,169.0,0.9953,3.15,0.46,9.3,6,'Toctafe'
1315,1315,white,8.1,0.2,0.36,9.7,0.044,63.0,162.0,0.997,3.1,0.46,10.0,6,'Y Edibecborg Chandonnay 2021'
1316,1316,white,7.9,0.255,0.26,2.0,0.026,40.0,190.0,0.9932,3.04,0.39,11.2,6,'DOC'
1317,1317,white,7.0,0.15,0.34,1.4,0.039,21.0,177.0,0.9927,3.32,0.62,10.8,5,"""ONCSd Siont Pinot Grigio D'Clancu Vinol Brutg"""
1318,1318,white,6.4,0.15,0.31,1.1,0.044,25.0,96.0,0.9932,3.54,0.51,10.3,6,'Ubhesthiou Lase Lax Senhersenzt Charklin Bling'
1319,1319,white,6.4,0.25,0.53,6.6,0.038,59.0,234.0,0.9955,3.03,0.42,8.8,5,'Zo'
1320,1320,white,7.6,0.19,0.42,1.5,0.044,6.0,114.0,0.9914,3.04,0.74,12.8,6,'S37'
1321,1321,white,7.3,0.43,0.37,4.6,0.028,17.0,114.0,0.991,3.23,0.43,13.2,6,'Ablan 2020'
1322,1322,white,5.1,0.31,0.3,0.9,0.037,28.0,152.0,0.992,3.54,0.56,10.1,6,'Vçoèlis Resérve CGTrah de Dinon Sparkling 2021'
1323,1323,white,6.2,0.2,0.26,1.7,0.093,40.0,161.0,0.9924,3.44,0.66,11.0,5,'Püraunes Fingal Cralids Mod do Clanc 2022'
1324,1324,white,6.9,0.16,0.35,1.3,0.043,21.0,182.0,0.9927,3.25,0.62,10.8,6,'UÖëD-TBrge Brut Rosén Rispringion Lofcher Sauvignon'
1325,1325,white,7.7,0.32,0.48,2.3,0.04,28.0,114.0,0.9911,3.2,0.52,12.8,7,'Eco Verer Riesling 2027'
1326,1326,white,6.5,0.22,0.72,6.8,0.042,33.0,168.0,0.9958,3.12,0.36,9.2,6,'Ed Sadon Cuté'
1327,1327,white,6.8,0.26,0.33,1.5,0.047,44.0,167.0,0.9928,3.12,0.44,10.5,6,"""HSariwons D'A"""
1328,1328,white,5.2,0.37,0.33,1.2,0.028,13.0,81.0,0.9902,3.37,0.38,11.7,6,'RKzokshen Fiancherzigno VQA'
1329,1329,white,8.4,0.19,0.43,2.1,0.052,20.0,104.0,0.994,2.85,0.46,9.5,5,'Yxablis Remea Vionecte Chardonnay 2020'
1330,1330,white,8.3,0.21,0.41,2.2,0.05,24.0,108.0,0.994,2.85,0.45,9.5,5,'Lomard Chardonnay VQA'
1331,1331,white,6.8,0.15,0.32,8.8,0.058,24.0,110.0,0.9972,3.4,0.4,8.8,6,'YOrger'
1332,1332,white,7.9,0.16,0.64,17.0,0.05,69.0,210.0,1.0004,3.15,0.51,9.3,7,'C6'
1333,1333,white,7.8,0.21,0.39,1.8,0.034,62.0,180.0,0.991,3.09,0.75,12.6,8,"""Loun Brut L'Arnkec"""
1334,1334,white,9.0,0.24,0.5,1.2,0.048,26.0,107.0,0.9918,3.21,0.34,12.4,6,'JÖScünat Brut Cherdonnay Venteured Troctes Brut Bru'
1335,1335,white,5.7,0.21,0.24,2.3,0.047,60.0,189.0,0.995,3.65,0.72,10.1,6,'Opardss Mino 2018'
1336,1336,white,7.8,0.29,0.36,7.0,0.042,38.0,161.0,0.9941,3.26,0.37,11.2,8,'Legnerr Krk Charzon 2027'
1337,1337,white,6.7,0.18,0.3,6.4,0.048,40.0,251.0,0.9956,3.29,0.52,10.0,5,'Benconauchs Belt Ressiandu Vermanit Bix 2022'
1338,1338,white,6.7,0.18,0.3,6.4,0.048,40.0,251.0,0.9956,3.29,0.52,10.0,5,'Snon-Spenzfuro Del Clasciel Lemari Hiessice 2020'
1339,1339,white,8.4,0.58,0.27,12.15,0.033,37.0,116.0,0.9959,2.99,0.39,10.8,6,'Aà321'
1340,1340,white,7.2,0.16,0.32,0.8,0.04,50.0,121.0,0.9922,3.27,0.33,10.0,6,"'X*, Chardennay 2021'"
1341,1341,white,7.6,0.54,0.23,2.0,0.029,13.0,151.0,0.9931,3.04,0.33,10.4,5,'RéD 2019'
1342,1342,white,8.4,0.58,0.27,12.15,0.033,37.0,116.0,0.9959,2.99,0.39,10.8,6,'Ffindols de Hingas Trigher Sauvignon Blanc'
1343,1343,white,6.6,0.25,0.31,12.4,0.059,52.0,181.0,0.9984,3.51,0.47,9.8,6,'Fberganmer Olynaris 2022'
1344,1344,white,7.3,0.23,0.37,1.9,0.041,51.0,165.0,0.9908,3.26,0.4,12.2,8,'Chers Coudonon Blanc de Blanc Resé 2021'
1345,1345,white,7.3,0.39,0.37,1.1,0.043,36.0,113.0,0.991,3.39,0.48,12.7,8,'Ugney 5 Misctid Hatres Dos Migres Grigio Mir Sauvig'
1346,1346,white,7.0,0.46,0.39,6.2,0.039,46.0,163.0,0.9928,3.21,0.35,12.2,7,'IHdus Blitho Sparkling'
1347,1347,white,8.2,0.35,0.4,6.3,0.039,35.0,162.0,0.9936,3.15,0.34,11.9,7,'Riges Is Marrerut 2022'
1348,1348,white,7.8,0.29,0.36,7.0,0.042,38.0,161.0,0.9941,3.26,0.37,11.2,8,'Tä'
1349,1349,white,9.2,0.35,0.39,0.9,0.042,15.0,61.0,0.9924,2.96,0.28,10.4,4,'Yache Dry Wine Il Tervés Pèner Rever Por Chardonnay'
1350,1350,white,8.0,0.57,0.39,3.9,0.034,22.0,122.0,0.9917,3.29,0.67,12.8,7,'Fsinzga Vinteva'
1351,1351,white,6.5,0.37,0.33,3.9,0.027,40.0,130.0,0.9906,3.28,0.39,12.7,7,'Fy 2021'
1352,1352,white,5.7,0.21,0.24,2.3,0.047,60.0,189.0,0.995,3.65,0.72,10.1,6,'Sperrin Grüniz Gradd Chardonnay 2020'
1353,1353,white,6.7,0.18,0.3,6.4,0.048,40.0,251.0,0.9956,3.29,0.52,10.0,5,'T9RQA'
1354,1354,white,7.8,0.13,0.3,1.8,0.04,43.0,179.0,0.9955,3.43,0.41,9.0,5,'Winey'
1355,1355,white,7.6,0.19,0.41,1.1,0.04,38.0,143.0,0.9907,2.92,0.42,11.4,5,'HSand IxPr Chardonnay VQA'
1356,1356,white,7.3,0.22,0.41,15.4,0.05,55.0,191.0,1.0,3.32,0.59,8.9,6,'VQA'
1357,1357,white,6.3,0.29,0.4,6.5,0.039,43.0,167.0,0.9953,3.15,0.44,9.3,6,'OAn*Ád Jari Pibsore 2022'
1358,1358,white,6.8,0.35,0.32,2.4,0.048,35.0,103.0,0.9911,3.28,0.46,12.0,8,'Brie IGT'
1359,1359,white,6.5,0.19,0.32,1.4,0.04,31.0,132.0,0.9922,3.36,0.54,10.8,7,'Los Chardonnay'
1360,1360,white,6.2,0.12,0.26,5.7,0.044,56.0,158.0,0.9951,3.52,0.37,10.5,6,'Tr'
1361,1361,white,6.0,0.13,0.28,5.7,0.038,56.0,189.5,0.9948,3.59,0.43,10.6,7,'ZMRamden Keran Rither Grünit Vineyabriy 2019'
1362,1362,white,6.4,0.25,0.33,1.4,0.04,42.0,115.0,0.9906,3.19,0.48,11.3,7,'Reçtize Châteardonnay 2020'
1363,1363,white,6.9,0.32,0.16,1.4,0.051,15.0,96.0,0.994,3.22,0.38,9.5,4,'Vigner 2021'
1364,1364,white,7.6,0.19,0.41,1.1,0.04,38.0,143.0,0.9907,2.92,0.42,11.4,5,'Hongnon Blanc 2020'
1365,1365,white,6.7,0.13,0.28,1.2,0.046,35.0,140.0,0.9927,3.33,0.33,10.1,7,'KUm IWlanc Cosé white-wine'
1366,1366,white,7.0,0.14,0.41,0.9,0.037,22.0,95.0,0.9914,3.25,0.43,10.9,6,'Hury Brugar Veleterique Neicinet Venelier 2021'
1367,1367,white,7.6,0.27,0.24,3.8,0.058,19.0,115.0,0.9958,3.15,0.45,8.9,5,'T3á/Loetrère Cherdonnay 2020'
1368,1368,white,7.3,0.22,0.41,15.4,0.05,55.0,191.0,1.0,3.32,0.59,8.9,6,'G78'
1369,1369,white,7.4,0.64,0.47,14.15,0.168,42.0,185.0,0.9984,2.9,0.49,9.3,5,'Mónh 20t Sparklingto 2022'
1370,1370,white,7.6,0.28,0.39,1.9,0.052,23.0,116.0,0.9941,3.25,0.4,10.4,6,'XLof Trboith Riesling'
1371,1371,white,8.3,0.26,0.41,9.2,0.042,41.0,162.0,0.9944,3.1,0.38,12.0,7,'X& Rovess Sanctian Sauvignon Blanco 2022'
1372,1372,white,10.7,0.22,0.56,8.2,0.044,37.0,181.0,0.998,2.87,0.68,9.5,6,'Bojo JOCulis Touvagni-Vine'
1373,1373,white,10.7,0.22,0.56,8.2,0.044,37.0,181.0,0.998,2.87,0.68,9.5,6,'M2quiss Serec'
1374,1374,white,6.9,0.23,0.34,2.7,0.032,24.0,121.0,0.9902,3.14,0.38,12.4,7,"""Chamilon'"""
1375,1375,white,6.2,0.3,0.32,1.7,0.032,30.0,130.0,0.9911,3.28,0.41,11.2,7,'Fwhite Les Brut Pèper Vinharas 2008'
1376,1376,white,6.9,0.27,0.41,1.7,0.047,6.0,134.0,0.9929,3.15,0.69,11.4,6,'Yöjphérise Dewuerré Peltec Maburisure Cotraloesa De'
1377,1377,white,6.9,0.28,0.41,1.7,0.05,10.0,136.0,0.993,3.16,0.71,11.4,6,'Lagna de Cratin With Huve 2019'
1378,1378,white,6.9,0.28,0.3,1.6,0.047,46.0,132.0,0.9918,3.35,0.38,11.1,7,'Kàurcoto 2021'
1379,1379,white,6.9,0.46,0.2,0.9,0.054,5.0,126.0,0.992,3.1,0.42,10.4,6,'HQA'
1380,1380,white,6.9,0.38,0.32,8.5,0.044,36.0,152.0,0.9932,3.38,0.35,12.0,7,'KHing & Rhengezk Bins do Plinge Ulestion Gransed Ri'
1381,1381,white,5.7,0.43,0.3,5.7,0.039,24.0,98.0,0.992,3.54,0.61,12.3,7,'Bling 2016'
1382,1382,white,6.6,0.56,0.16,3.1,0.045,28.0,92.0,0.994,3.12,0.35,9.1,6,'J*Btill 2028'
1383,1383,white,7.1,0.36,0.56,1.3,0.046,25.0,102.0,0.9923,3.24,0.33,10.5,6,'Whers Pycot Grigio'
1384,1384,white,6.8,0.23,0.4,1.6,0.047,5.0,133.0,0.993,3.23,0.7,11.4,6,'Tot Poscine Nitleir Ridghine'
1385,1385,white,6.2,0.33,0.29,1.3,0.042,26.0,138.0,0.9956,3.77,0.64,9.5,5,'Xpals Stuck SpMillonee VQA'
1386,1386,white,5.6,0.49,0.13,4.5,0.039,17.0,116.0,0.9907,3.42,0.9,13.7,7,'Whi Nitseraic 2019'
1387,1387,white,6.6,0.42,0.33,2.8,0.034,15.0,85.0,0.99,3.28,0.51,13.4,6,'Omand Brines 2010'
1388,1388,white,7.3,0.18,0.29,1.2,0.044,12.0,143.0,0.9918,3.2,0.48,11.3,7,'NYé Estiter Minton Hrad 2029'
1389,1389,white,8.1,0.19,0.4,0.9,0.037,73.0,180.0,0.9926,3.06,0.34,10.0,6,'GJaura Vinélind Misèrasuray Fresico Spardling 2014'
1390,1390,white,5.9,0.19,0.26,7.4,0.034,33.0,123.0,0.995,3.49,0.42,10.1,6,'XPnestido 2020'
1391,1391,white,6.2,0.16,0.47,1.4,0.029,23.0,81.0,0.99,3.26,0.42,12.2,6,'Lghanderabostat Paosling 2022'
1392,1392,white,6.6,0.42,0.33,2.8,0.034,15.0,85.0,0.99,3.28,0.51,13.4,6,'Aìqgesers Jadanit Gewüdot Grigio Serguter 2P22'
1393,1393,white,5.7,0.135,0.3,4.6,0.042,19.0,101.0,0.9946,3.31,0.42,9.3,6,'Bnigs 2019'
1394,1394,white,5.6,0.49,0.13,4.5,0.039,17.0,116.0,0.9907,3.42,0.9,13.7,7,'ZHded Crutac 2021'
1395,1395,white,6.9,0.19,0.33,1.6,0.039,27.0,98.0,0.9898,3.09,0.46,12.3,7,'Rãéfürques Chardonnay VQA'
1396,1396,white,7.3,0.18,0.29,1.2,0.044,12.0,143.0,0.9918,3.2,0.48,11.3,7,'E*#° Hauztux Dumlis Charion Bland Dom Pinot Glighe '
1397,1397,white,7.3,0.25,0.36,13.1,0.05,35.0,200.0,0.9986,3.04,0.46,8.9,7,'Nrefthölbbotr Thitener Bruvét'
1398,1398,white,7.3,0.25,0.36,13.1,0.05,35.0,200.0,0.9986,3.04,0.46,8.9,7,'XUgniat Chard Sadie Extris Brutine 2021'
1399,1399,white,7.0,0.2,0.34,5.7,0.035,32.0,83.0,0.9928,3.19,0.46,11.5,6,'Unco'
1400,1400,white,7.3,0.25,0.36,13.1,0.05,35.0,200.0,0.9986,3.04,0.46,8.9,7,'Z-Vare white-wine'
1401,1401,white,6.3,0.67,0.48,12.6,0.052,57.0,222.0,0.9979,3.17,0.52,9.3,6,'C'
1402,1402,white,7.4,0.4,0.29,5.4,0.044,31.0,122.0,0.994,3.3,0.5,11.1,8,'Dpargsen Tizo Vinger Marseny Chardonnay 2021'
1403,1403,white,7.1,0.26,0.31,2.2,0.044,29.0,128.0,0.9937,3.34,0.64,10.9,8,'Cherzta Nianda Cru 2019'
1404,1404,white,9.0,0.31,0.48,6.6,0.043,11.0,73.0,0.9938,2.9,0.38,11.6,5,'Curvafinit Gringt Grando Chardino 2020'
1405,1405,white,6.3,0.39,0.24,6.9,0.069,9.0,117.0,0.9942,3.15,0.35,10.2,4,'Uus Riemenna'
1406,1406,white,8.2,0.22,0.36,6.8,0.034,12.0,90.0,0.9944,3.01,0.38,10.5,8,'Uniel Vigerdring Scanklin 2022'
1407,1407,white,7.1,0.19,0.28,3.6,0.033,16.0,78.0,0.993,2.91,0.78,11.4,6,'Hôtt Eséricoto 2022'
1408,1408,white,7.3,0.25,0.36,13.1,0.05,35.0,200.0,0.9986,3.04,0.46,8.9,7,'YSeli 2020'
1409,1409,white,7.9,0.2,0.34,1.2,0.04,29.0,118.0,0.9932,3.14,0.41,10.6,6,'Brlig Sperkling 2020'
1410,1410,white,7.1,0.26,0.32,5.9,0.037,39.0,97.0,0.9934,3.31,0.4,11.6,6,'ALbest Royr Chardonnay 2021'
